"person_age","person_gender","person_education","person_income","person_emp_exp","person_home_ownership","loan_amnt","loan_intent","loan_int_rate","loan_percent_income","cb_person_cred_hist_length","credit_score","previous_loan_defaults_on_file","loan_status","loan_category","person_gender_numeric"
24,"male","High School",0.184760828815765,3,"RENT",30000,"DEBTCONSOLIDATION",14.54,0.38,3,582,"No","1","High",2
25,"male","Bachelor",0.205158037618771,4,"RENT",30000,"HOMEIMPROVEMENT",16.89,0.33,4,649,"No","1","High",2
23,"female","High School",0.209449376533374,0,"RENT",30000,"DEBTCONSOLIDATION",11.01,0.35,4,602,"No","1","High",1
26,"male","Bachelor",0.177670424047236,5,"RENT",30000,"MEDICAL",17.99,0.4,2,616,"No","1","High",2
24,"female","High School",0.00786885983031366,0,"RENT",2500,"VENTURE",12.69,0.17,3,631,"No","1","Low",1
26,"male","Bachelor",0.980828085084857,5,"RENT",20000,"VENTURE",7.88,0.06,4,684,"Yes","0","Medium",2
22,"male","High School",0.98154190308375,0,"RENT",24250,"EDUCATION",19.41,0.07,2,637,"Yes","0","High",2
26,"male","Master",0.979105366843435,5,"RENT",10000,"HOMEIMPROVEMENT",10.38,0.03,4,649,"No","0","Medium",2
26,"male","Bachelor",0.979940028046865,5,"RENT",25000,"EDUCATION",15.33,0.07,3,695,"Yes","0","High",2
25,"female","Bachelor",0.980690380037827,2,"RENT",18000,"HOMEIMPROVEMENT",16.45,0.05,3,620,"No","0","Medium",1
26,"male","Bachelor",0.241540273105642,2,"RENT",30000,"PERSONAL",7.49,0.31,3,622,"No","1","High",2
22,"female","High School",0.192663412331065,0,"RENT",30000,"MEDICAL",12.69,0.37,3,645,"No","1","High",1
26,"male","Master",0.268876130094735,2,"RENT",30000,"DEBTCONSOLIDATION",6.62,0.28,3,654,"No","1","High",2
24,"female","Bachelor",0.231476563444088,2,"RENT",30000,"DEBTCONSOLIDATION",11.01,0.32,4,624,"No","1","High",1
23,"male","High School",0.231198343042944,1,"RENT",30000,"DEBTCONSOLIDATION",18.62,0.32,3,570,"No","1","High",2
23,"male","Bachelor",0.277857871529622,3,"RENT",30000,"PERSONAL",15.23,0.27,3,648,"No","1","High",2
23,"female","Associate",0.29499231381013,0,"RENT",30000,"VENTURE",10.65,0.26,2,652,"No","1","High",1
25,"male","Bachelor",0.372936180736469,3,"RENT",30000,"EDUCATION",7.9,0.21,4,559,"No","0","High",2
26,"male","High School",0.912931065977579,7,"RENT",10000,"PERSONAL",15.96,0.03,3,623,"Yes","0","Medium",2
26,"male","Associate",0.902906700615176,2,"RENT",20000,"VENTURE",11.48,0.06,3,602,"Yes","0","Medium",2
23,"male","Bachelor",0.90243737933244,1,"RENT",35000,"PERSONAL",11.01,0.1,4,609,"No","0","High",2
25,"male","Master",0.400499672599225,1,"RENT",30000,"PERSONAL",7.29,0.19,4,573,"Yes","0","High",2
22,"male","Associate",0.00828197497140513,1,"RENT",1750,"VENTURE",11.01,0.11,3,631,"Yes","0","Low",2
21,"female","Bachelor",0.410462211205818,0,"RENT",30000,"VENTURE",5.99,0.19,4,623,"Yes","0","High",1
22,"female","Bachelor",0.895791003082907,0,"RENT",12000,"VENTURE",11.58,0.04,2,602,"Yes","0","Medium",1
26,"female","High School",0.854850449508618,6,"RENT",10000,"EDUCATION",11.01,0.03,4,579,"No","1","Medium",1
25,"female","Associate",0.717721515429991,0,"RENT",25000,"MEDICAL",15.7,0.09,2,582,"No","1","High",1
22,"male","Master",0.204896679060121,0,"RENT",29100,"EDUCATION",15.99,0.34,3,700,"No","1","High",2
22,"male","Associate",0.00767494864163807,0,"RENT",1500,"EDUCATION",14.84,0.1,3,688,"No","0","Low",2
26,"male","Bachelor",0.845390955869748,3,"RENT",28000,"HOMEIMPROVEMENT",10.99,0.09,3,607,"Yes","0","High",2
25,"female","Bachelor",0.842164723339319,0,"RENT",20000,"HOMEIMPROVEMENT",14.42,0.06,2,661,"Yes","0","Medium",1
24,"male","High School",0.827958621038521,5,"RENT",9600,"EDUCATION",6.99,0.03,2,562,"Yes","0","Medium",2
25,"female","Bachelor",0.811768441937651,0,"RENT",25000,"MEDICAL",13.49,0.08,4,664,"Yes","0","High",1
25,"male","High School",0.00809368439689405,1,"RENT",3000,"MEDICAL",11.01,0.2,3,564,"No","1","Low",2
22,"male","Associate",0.159513029988787,0,"RENT",28000,"MEDICAL",11.01,0.41,2,598,"No","1","High",2
21,"female","High School",0.00850117892382101,0,"RENT",3000,"EDUCATION",13.61,0.2,3,557,"No","1","Low",1
23,"female","Associate",0.188012354109934,0,"RENT",28000,"EDUCATION",7.9,0.35,2,677,"No","1","High",1
22,"male","Bachelor",0.253973071637538,4,"RENT",28000,"VENTURE",7.49,0.27,3,690,"No","1","High",2
26,"male","Associate",0.00828197497140513,1,"RENT",6100,"EDUCATION",7.51,0.4,3,599,"No","1","Medium",2
22,"male","High School",0.264966992943319,0,"RENT",28000,"VENTURE",9.91,0.26,3,604,"No","1","High",2
21,"female","Bachelor",0.00834661203429699,0,"RENT",4200,"PERSONAL",13.48,0.28,4,663,"No","1","Low",1
22,"male","Bachelor",0.00885246730910287,3,"RENT",4750,"DEBTCONSOLIDATION",7.14,0.31,2,601,"No","1","Low",2
24,"male","High School",0.247447538592542,1,"RENT",28000,"VENTURE",15.99,0.28,4,634,"No","1","High",2
24,"male","Bachelor",0.811248535127433,2,"RENT",18000,"EDUCATION",12.98,0.06,3,671,"No","0","Medium",2
26,"male","Bachelor",0.810307082254878,5,"RENT",4800,"VENTURE",13.57,0.02,3,700,"No","0","Low",2
25,"female","Bachelor",0.305705204407686,1,"RENT",28000,"DEBTCONSOLIDATION",12.69,0.23,3,622,"No","0","High",1
26,"male","Associate",0.340300084590243,1,"RENT",28000,"EDUCATION",8.9,0.21,2,538,"Yes","0","High",2
26,"male","Bachelor",0.00905761972610747,0,"RENT",2700,"DEBTCONSOLIDATION",11.01,0.17,4,587,"No","1","Low",2
22,"male","Master",0.333218110742961,0,"RENT",28000,"EDUCATION",11.01,0.21,4,683,"No","1","High",2
23,"male","Associate",0.477847754424126,0,"RENT",28000,"DEBTCONSOLIDATION",11.11,0.15,2,634,"Yes","0","High",2
24,"female","Bachelor",0.201136488184064,3,"RENT",27600,"HOMEIMPROVEMENT",11.01,0.33,2,690,"No","1","High",1
21,"female","Bachelor",0.00874567563997718,0,"RENT",3250,"DEBTCONSOLIDATION",15.68,0.21,3,518,"No","1","Low",1
22,"female","Bachelor",0.205042815028398,0,"RENT",27500,"EDUCATION",13.06,0.32,3,583,"No","1","High",1
22,"male","Associate",0.777401196628756,2,"RENT",25000,"PERSONAL",11.01,0.09,2,617,"Yes","0","High",2
26,"male","Associate",0.215809101460517,4,"RENT",27050,"VENTURE",15.62,0.3,2,668,"No","1","High",2
22,"male","Master",0.247944962946101,2,"RENT",27000,"PERSONAL",13.49,0.27,2,673,"No","1","High",2
24,"male","High School",0.215460623382317,3,"RENT",27000,"VENTURE",11.01,0.3,3,706,"No","1","High",2
23,"female","High School",0.178769254116397,1,"RENT",26000,"MEDICAL",11.71,0.34,2,536,"No","1","High",1
22,"male","Associate",0.37323688359427,0,"RENT",25600,"EDUCATION",12.69,0.18,3,557,"Yes","0","High",2
22,"female","Bachelor",0.0102463796219013,1,"RENT",1600,"MEDICAL",13.57,0.1,3,689,"Yes","0","Low",1
22,"male","Bachelor",0.171004375648127,3,"RENT",25475,"VENTURE",10.99,0.35,3,681,"No","1","High",2
25,"male","Master",0.756588062377576,4,"RENT",20000,"MEDICAL",14.27,0.07,4,623,"Yes","0","Medium",2
24,"female","Associate",0.757358086518114,0,"RENT",20000,"HOMEIMPROVEMENT",8.88,0.07,4,595,"Yes","0","Medium",1
26,"male","Bachelor",0.757405861738512,1,"RENT",21600,"HOMEIMPROVEMENT",12.18,0.08,3,584,"Yes","0","High",2
25,"male","Bachelor",0.713278419932946,4,"RENT",11900,"DEBTCONSOLIDATION",14.42,0.04,3,669,"No","1","Medium",2
26,"male","High School",0.751425528267474,3,"RENT",25000,"MEDICAL",14.17,0.09,2,642,"Yes","0","High",2
25,"female","High School",0.743986645420745,4,"RENT",35000,"MEDICAL",13.99,0.13,4,622,"Yes","0","High",1
23,"male","Associate",0.248639108795418,0,"RENT",25300,"EDUCATION",10.99,0.25,3,689,"No","1","High",2
22,"male","High School",0.0110613686757552,1,"RENT",2000,"PERSONAL",5.42,0.12,4,614,"No","1","Low",2
22,"female","Bachelor",0.0110416965261794,2,"RENT",1750,"PERSONAL",13.61,0.11,3,597,"Yes","0","Low",1
21,"female","Bachelor",0.111400572740583,3,"RENT",25000,"EDUCATION",12.73,0.48,3,673,"No","1","High",1
24,"male","Associate",0.106867547416906,3,"RENT",25000,"HOMEIMPROVEMENT",11.01,0.5,3,625,"No","1","High",2
25,"male","High School",0.011511017808916,0,"RENT",3000,"DEBTCONSOLIDATION",12.87,0.18,4,603,"No","1","Low",2
24,"male","Bachelor",0.0120562173828734,0,"RENT",3650,"HOMEIMPROVEMENT",9.91,0.22,3,589,"No","1","Low",2
26,"male","Master",0.730452206512606,5,"RENT",20000,"HOMEIMPROVEMENT",11.49,0.07,4,670,"Yes","0","Medium",2
25,"female","Bachelor",0.727987567201468,3,"RENT",30000,"HOMEIMPROVEMENT",19.91,0.11,2,637,"Yes","0","High",1
26,"male","Associate",0.687344906177898,2,"RENT",35000,"EDUCATION",10.65,0.14,2,643,"No","1","High",2
24,"male","High School",0.728038152728949,0,"RENT",6000,"MEDICAL",11.01,0.02,4,508,"Yes","0","Medium",2
24,"male","High School",0.0117695660604834,2,"RENT",4500,"DEBTCONSOLIDATION",11.83,0.27,4,643,"No","1","Low",2
23,"male","High School",0.0121320956740943,0,"RENT",2400,"DEBTCONSOLIDATION",13.49,0.14,2,505,"No","1","Low",2
22,"male","Bachelor",0.110518136316755,0,"RENT",25000,"MEDICAL",14.59,0.48,2,593,"No","1","High",2
26,"female","Master",0.129931737640972,6,"RENT",25000,"EDUCATION",9.64,0.43,4,686,"No","1","High",1
25,"female","Associate",0.0115587930293143,4,"RENT",3600,"MEDICAL",14.59,0.22,3,646,"No","1","Low",1
22,"female","Bachelor",0.0129498950350305,0,"RENT",4750,"EDUCATION",11.01,0.28,3,645,"No","1","Low",1
25,"female","Associate",0.110908769001189,3,"RENT",25000,"EDUCATION",16.35,0.48,3,697,"No","1","High",1
21,"male","High School",0.133720031587852,0,"RENT",25000,"EDUCATION",10.99,0.42,2,648,"No","1","High",2
22,"male","Master",0.726998339108514,1,"RENT",25000,"VENTURE",18.67,0.09,2,640,"Yes","0","High",2
22,"male","Bachelor",0.726711687786124,5,"RENT",3000,"EDUCATION",9.32,0.01,4,681,"No","0","Low",2
23,"female","Associate",0.726315434487526,0,"RENT",7500,"DEBTCONSOLIDATION",8.63,0.03,2,646,"No","0","Medium",1
26,"male","Bachelor",0.7267313599357,4,"RENT",25000,"VENTURE",10.08,0.09,2,615,"Yes","0","High",2
22,"male","Associate",0.135510197199248,0,"RENT",25000,"PERSONAL",11.83,0.41,3,687,"No","1","High",2
23,"male","High School",0.136221204891058,1,"RENT",25000,"DEBTCONSOLIDATION",7.9,0.41,3,650,"No","1","High",2
25,"male","Bachelor",0.136431977922228,0,"RENT",25000,"HOMEIMPROVEMENT",5.99,0.41,2,588,"No","1","High",2
24,"male","Bachelor",0.116748587118114,2,"RENT",25000,"DEBTCONSOLIDATION",15.33,0.46,2,652,"No","1","High",2
23,"male","High School",0.136353289323924,0,"RENT",25000,"VENTURE",11.83,0.41,4,658,"No","1","High",2
22,"male","High School",0.136201532741483,0,"RENT",25000,"VENTURE",10.36,0.41,2,634,"No","1","High",2
22,"female","High School",0.136994039338679,0,"RENT",25000,"VENTURE",12.23,0.41,3,623,"No","1","High",1
22,"female","Associate",0.143196387069215,0,"RENT",25000,"EDUCATION",11.11,0.4,4,635,"No","1","High",1
23,"female","Bachelor",0.0136777645693345,0,"RENT",4950,"DEBTCONSOLIDATION",7.9,0.29,4,531,"No","1","Low",1
24,"female","Master",0.710400665480717,4,"RENT",25000,"EDUCATION",11.58,0.09,2,665,"Yes","0","High",1
23,"male","Associate",0.696739762753876,2,"RENT",21000,"DEBTCONSOLIDATION",8.9,0.08,3,703,"No","0","High",2
25,"female","Associate",0.696262010549893,5,"RENT",25000,"EDUCATION",16.07,0.1,3,585,"Yes","0","High",1
26,"female","Bachelor",0.697411426146535,4,"RENT",20000,"EDUCATION",14.22,0.08,2,594,"No","0","Medium",1
23,"male","Bachelor",0.693297136578114,0,"RENT",35000,"MEDICAL",14.79,0.14,3,618,"Yes","0","High",2
22,"male","High School",0.693580977593422,2,"RENT",12000,"EDUCATION",7.88,0.05,2,626,"Yes","0","Medium",2
23,"male","High School",0.143929877217684,0,"RENT",25000,"PERSONAL",13.22,0.39,2,695,"No","1","High",2
26,"female","Doctorate",0.123774354823752,2,"RENT",25000,"DEBTCONSOLIDATION",11.86,0.44,4,690,"No","1","High",1
22,"male","Bachelor",0.147709740243316,0,"RENT",25000,"EDUCATION",13.43,0.39,4,574,"No","1","High",2
26,"female","High School",0.128076934966684,0,"RENT",25000,"HOMEIMPROVEMENT",15.28,0.43,2,602,"No","1","High",1
23,"male","Associate",0.126564989756431,0,"RENT",25000,"VENTURE",17.93,0.44,2,679,"No","1","High",2
23,"female","High School",0.0130229630191691,2,"RENT",1400,"EDUCATION",9.25,0.08,4,615,"No","0","Low",1
21,"male","Master",0.0123147656344409,0,"RENT",4500,"VENTURE",12.98,0.27,4,601,"No","1","Low",2
22,"male","Associate",0.675937869731026,0,"RENT",16000,"VENTURE",10.62,0.06,4,577,"Yes","0","Medium",2
22,"female","Associate",0.676662928958247,3,"RENT",22000,"PERSONAL",11.83,0.09,4,588,"Yes","0","High",1
26,"male","Bachelor",0.130173424050046,5,"RENT",25000,"VENTURE",18.43,0.43,2,595,"No","1","High",2
22,"male","High School",0.153808106611809,2,"RENT",25000,"EDUCATION",11.01,0.37,4,653,"No","1","High",2
24,"female","Master",0.152771103298457,3,"RENT",25000,"HOMEIMPROVEMENT",11.01,0.38,4,663,"No","1","High",1
23,"male","Bachelor",0.152647449786838,0,"RENT",25000,"EDUCATION",11.36,0.38,3,653,"No","1","High",2
23,"male","Associate",0.15437016802826,2,"RENT",25000,"EDUCATION",15.65,0.37,3,598,"No","1","High",2
24,"female","High School",0.153543937746078,1,"RENT",25000,"PERSONAL",13.22,0.37,4,630,"No","1","High",1
26,"male","Associate",0.156770170276506,2,"RENT",25000,"DEBTCONSOLIDATION",12.87,0.37,2,637,"No","1","High",2
24,"male","Associate",0.65554066092802,1,"RENT",20000,"MEDICAL",13.04,0.08,3,660,"Yes","0","Medium",2
23,"male","Associate",0.60927738573994,0,"RENT",22000,"EDUCATION",17.58,0.1,3,639,"No","1","High",2
23,"male","High School",0.0156730825977355,0,"RENT",7750,"PERSONAL",17.04,0.43,4,626,"No","1","Medium",2
22,"female","Associate",0.169534585044108,3,"RENT",25000,"PERSONAL",10.99,0.34,3,612,"No","1","High",1
24,"male","Bachelor",0.170841377837356,1,"RENT",25000,"PERSONAL",11.11,0.34,3,628,"No","1","High",2
26,"female","Master",0.150626838994697,2,"RENT",25000,"DEBTCONSOLIDATION",14.83,0.38,2,592,"No","1","High",1
23,"male","High School",0.0153808106611809,1,"RENT",4000,"DEBTCONSOLIDATION",11.01,0.23,3,580,"No","1","Low",2
24,"male","Bachelor",0.643273670513977,3,"RENT",12000,"MEDICAL",12.69,0.05,2,634,"No","0","Medium",2
24,"male","Associate",0.642469922688452,3,"RENT",12000,"HOMEIMPROVEMENT",13.49,0.05,2,678,"No","0","Medium",2
21,"male","High School",0.642711609097526,0,"RENT",16000,"EDUCATION",14.65,0.07,4,557,"Yes","0","Medium",2
25,"male","Bachelor",0.150239016617346,3,"RENT",25000,"HOMEIMPROVEMENT",16.82,0.38,4,672,"No","1","High",2
23,"male","Bachelor",0.169829667287745,0,"RENT",25000,"PERSONAL",12.73,0.34,3,613,"No","1","High",2
23,"male","High School",0.169587980878671,3,"RENT",25000,"PERSONAL",10.25,0.34,4,566,"No","1","High",2
21,"male","Associate",0.170195007208438,0,"RENT",25000,"EDUCATION",10.99,0.34,4,718,"No","1","High",2
25,"male","High School",0.177673234354318,4,"RENT",25000,"MEDICAL",12.73,0.33,2,543.7,"No","1","High",2
22,"female","High School",0.158900383044855,0,"RENT",25000,"HOMEIMPROVEMENT",14.96,0.36,3,634,"No","1","High",1
23,"female","Bachelor",0.643237136521908,2,"RENT",28000,"EDUCATION",11.01,0.12,2,653,"Yes","0","High",1
21,"male","Bachelor",0.642936433664106,0,"RENT",25000,"DEBTCONSOLIDATION",13.99,0.1,2,699,"No","0","High",2
24,"male","High School",0.642360320712244,0,"RENT",24000,"VENTURE",7.49,0.1,4,656,"Yes","0","High",2
22,"male","High School",0.642852124451639,3,"RENT",15000,"EDUCATION",14.79,0.06,3,626,"Yes","0","Medium",2
25,"male","High School",0.642472732995534,2,"RENT",15500,"DEBTCONSOLIDATION",11.99,0.06,2,659,"No","0","Medium",2
24,"female","High School",0.642576714357578,4,"RENT",10000,"EDUCATION",8.49,0.04,4,604,"Yes","0","Medium",1
24,"male","Associate",0.190715869523063,1,"RENT",25000,"EDUCATION",9.91,0.31,2,636,"No","1","High",2
22,"male","Master",0.191159898042059,0,"RENT",25000,"EDUCATION",13.06,0.31,3,554,"No","1","High",2
22,"male","High School",0.642902709979119,0,"RENT",9000,"DEBTCONSOLIDATION",6.17,0.04,4,587,"Yes","0","Medium",2
26,"male","Associate",0.643959385442047,5,"RENT",6000,"EDUCATION",11.86,0.02,2,700,"No","0","Medium",2
25,"male","Bachelor",0.642781866774582,4,"RENT",18000,"EDUCATION",16.32,0.07,3,708,"Yes","0","Medium",2
22,"female","Master",0.642115823996088,2,"RENT",12000,"VENTURE",10.38,0.05,2,669,"Yes","0","Medium",1
25,"male","Associate",0.643332686962704,2,"RENT",23050,"PERSONAL",14.35,0.1,3,578,"No","0","High",2
24,"male","Bachelor",0.642542990672591,5,"RENT",20000,"DEBTCONSOLIDATION",11.01,0.08,3,615,"No","0","Medium",2
22,"male","Master",0.170408590546689,1,"RENT",25000,"DEBTCONSOLIDATION",11.01,0.34,2,553,"No","1","High",2
21,"male","Master",0.0160918183529914,0,"RENT",3000,"HOMEIMPROVEMENT",11.01,0.17,4,635,"No","1","Low",2
26,"female","Associate",0.193787535163967,3,"RENT",25000,"PERSONAL",15.21,0.31,2,531,"No","1","High",1
23,"male","High School",0.192747721543533,1,"RENT",25000,"EDUCATION",7.9,0.31,4,621,"No","1","High",2
22,"male","Bachelor",0.194627816981562,1,"RENT",25000,"VENTURE",10.99,0.31,3,674,"No","1","High",2
24,"female","Associate",0.198011426708596,0,"RENT",25000,"PERSONAL",14.09,0.3,3,688,"No","1","High",1
25,"female","High School",0.201271382924012,3,"RENT",25000,"PERSONAL",17.49,0.3,2,597,"No","1","High",1
22,"male","Associate",0.641972498334893,1,"RENT",12000,"EDUCATION",11.48,0.05,3,640,"No","0","Medium",2
26,"male","Associate",0.602704077474546,0,"RENT",20000,"VENTURE",17.74,0.09,2,621,"No","1","Medium",2
26,"female","Bachelor",0.643088190246548,5,"RENT",3000,"PERSONAL",13.92,0.01,3,608,"Yes","0","Low",1
25,"male","Bachelor",0.205158037618771,3,"RENT",25000,"EDUCATION",15.21,0.29,3,653,"No","1","High",2
22,"female","Bachelor",0.0164965025728361,0,"RENT",4000,"MEDICAL",10.99,0.22,3,585,"No","1","Low",1
